#Package[:Architecture]	#Version	#Source	#Installed-Size
dconf-gsettings-backend:amd64	0.12.0-0ubuntu1.1+steamrt1.1+srt2	d-conf	81
dconf-gsettings-backend:i386	0.12.0-0ubuntu1.1+steamrt1.1+srt2	d-conf	80
freeglut3:amd64	2.6.0-1ubuntu3+srt6	freeglut	369
freeglut3:i386	2.6.0-1ubuntu3+srt6	freeglut	307
gcc-4.6-base:amd64	4.6.3-1ubuntu5+steamrt1.2+srt2	gcc-4.6	194
gcc-4.6-base:i386	4.6.3-1ubuntu5+steamrt1.2+srt2	gcc-4.6	194
gcc-5-base:amd64	5.4.0-7.really.6+steamrt1.2+srt2	gcc-5	229
gcc-5-base:i386	5.4.0-7.really.6+steamrt1.2+srt2	gcc-5	229
gdbserver:amd64	8.0.1-0ubuntu1+steamrt1.2+srt1	gdb	708
gdbserver:i386	8.0.1-0ubuntu1+steamrt1.2+srt1	gdb	645
gtk2-engines-murrine:amd64	0.98.2-0ubuntu1+srt6	gtk2-engines-murrine	312
gtk2-engines-murrine:i386	0.98.2-0ubuntu1+srt6	gtk2-engines-murrine	330
gtk2-engines-pixbuf:amd64	2.24.10-0ubuntu6.3+steamrt1.2+srt1	gtk+2.0	238
gtk2-engines-pixbuf:i386	2.24.10-0ubuntu6.3+steamrt1.2+srt1	gtk+2.0	234
gtk2-engines:amd64	1:2.20.2-1ubuntu1+srt6	gtk2-engines	1173
gtk2-engines:i386	1:2.20.2-1ubuntu1+srt6	gtk2-engines	1204
libacl1:amd64	2.2.51-5ubuntu1+steamrt1.1+srt4	acl	80
libacl1:i386	2.2.51-5ubuntu1+steamrt1.1+srt4	acl	79
libappindicator1:amd64	0.4.92-0ubuntu1.1+steamrt1+srt2	libappindicator	119
libappindicator1:i386	0.4.92-0ubuntu1.1+steamrt1+srt2	libappindicator	118
libasn1-8-heimdal:amd64	1.6~git20120311.dfsg.1-2+steamrt1.1ubuntu0.2+srt1	heimdal	797
